Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Tenure_Months,Age,Total_bought,Total_purchases,Cmp_Accepted,Kmeans_labels
1975,Master,Committed,92163.0,0,0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,1,18,39,2086,21,2,5
1965,Master,Uncommitted,69882.0,0,0,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,0,7,49,1478,20,0,3
1977,Graduation,Committed,33178.0,1,0,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,5,37,49,5,0,6
1972,PhD,Committed,59973.0,0,0,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,0,9,42,382,15,0,0
1975,Master,Committed,17459.0,1,0,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,1,9,39,69,9,0,6
1969,Graduation,Uncommitted,23910.0,1,0,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,0,20,45,67,6,0,7
1969,Master,Committed,42169.0,1,1,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,0,8,45,30,6,0,2
1978,2n Cycle,Committed,26224.0,1,0,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,0,12,36,63,9,0,4
1981,Graduation,Committed,31089.0,1,0,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,0,22,33,79,10,0,4
1961,Graduation,Uncommitted,30081.0,0,1,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,16,53,42,5,0,7
1960,Graduation,Committed,62807.0,0,1,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,0,22,54,819,23,0,5
1955,Graduation,Uncommitted,72906.0,0,0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,0,9,59,1151,17,0,3
1948,PhD,Committed,61467.0,0,2,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,0,18,66,594,20,0,2
1966,Master,Committed,49618.0,1,1,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0,17,48,129,11,0,2
1986,Master,Uncommitted,21888.0,1,0,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,18,28,213,12,0,7
1973,Graduation,Uncommitted,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,4,41,67,7,0,3
1956,Graduation,Uncommitted,26150.0,2,1,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0,15,58,28,5,0,7
1975,Basic,Committed,30801.0,0,1,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,20,39,45,6,0,4
1965,Graduation,Committed,81168.0,0,0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,0,1,49,1193,18,1,0
1969,Master,Uncommitted,26877.0,0,0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,10,45,268,12,0,7
1944,Master,Uncommitted,45006.0,0,0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,0,11,70,266,12,0,3
1973,Basic,Committed,18978.0,1,0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,0,18,41,37,5,0,4
1967,Graduation,Committed,22574.0,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,8,47,37,7,0,6
1969,PhD,Uncommitted,48240.0,0,0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,19,45,882,25,0,1
1974,Graduation,Committed,45837.0,1,1,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0,11,40,373,18,0,2
1965,Master,Uncommitted,35791.0,2,1,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0,13,49,35,6,0,7
1978,Graduation,Uncommitted,54162.0,1,1,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,15,36,42,5,0,7
1960,Master,Committed,30522.0,0,1,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,22,54,326,17,0,4
1961,PhD,Committed,54456.0,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,11,53,404,17,0,0
1971,Graduation,Uncommitted,31632.0,0,0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,11,43,95,6,0,7
1949,Graduation,Uncommitted,72298.0,0,0,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,0,3,65,939,14,2,3
1978,2n Cycle,Uncommitted,36975.0,1,0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,6,36,33,5,0,7
1955,2n Cycle,Committed,72635.0,0,0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,12,59,981,21,1,5
1976,Graduation,Committed,13624.0,1,0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,17,38,36,7,0,4
1975,Graduation,Uncommitted,84196.0,0,1,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,12,39,1237,20,0,1
1960,Graduation,Committed,70971.0,0,1,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,21,54,1825,34,0,5
1977,PhD,Uncommitted,34487.0,1,1,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,21,37,103,9,0,7
1977,Graduation,Uncommitted,28769.0,1,0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,18,37,191,12,0,7
1970,PhD,Committed,69084.0,1,0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,7,44,1586,25,0,0
1958,PhD,Committed,65488.0,0,0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,0,56,963,14,0,0
1970,2n Cycle,Committed,62466.0,0,1,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,5,44,889,26,0,0
1960,2n Cycle,Uncommitted,32218.0,0,0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,4,54,93,7,1,7
1973,Graduation,Uncommitted,83917.0,0,0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,14,41,1587,21,0,1
1962,Graduation,Uncommitted,46102.0,2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,3,52,16,4,0,7
1952,Graduation,Uncommitted,84574.0,0,0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,12,62,1375,32,0,1
1962,Graduation,Committed,56181.0,0,1,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,17,52,393,14,0,5
1950,Master,Uncommitted,63120.0,0,1,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,21,64,1477,26,0,1
1971,Graduation,Committed,73691.0,0,1,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,0,7,43,1179,18,1,0
1960,Graduation,Committed,63381.0,0,1,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,20,54,1005,26,0,5
1948,PhD,Committed,76140.0,0,0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,1,66,1348,21,0,0
1959,PhD,Uncommitted,62859.0,0,1,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,18,55,1307,23,0,1
1964,Graduation,Uncommitted,45906.0,0,1,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,0,13,50,486,15,1,1
1947,Master,Committed,77632.0,0,0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,1,15,67,2252,13,2,5
1971,PhD,Committed,46463.0,1,1,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,0,10,43,235,17,0,2
1970,Graduation,Committed,105471.0,0,0,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,1,17,44,1724,30,2,5
1970,Master,Uncommitted,55282.0,1,0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,6,44,235,11,0,3
1977,Master,Committed,78710.0,0,1,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,0,1,37,1092,28,0,0
1958,Graduation,Committed,66886.0,0,1,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,9,56,599,17,0,2
1960,Master,Uncommitted,98777.0,0,0,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,4,54,2008,19,1,3
1985,Graduation,Committed,29103.0,1,0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,0,22,29,48,6,0,4
1974,Graduation,Committed,67445.0,0,1,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0,22,40,1174,32,0,5
1950,PhD,Committed,50616.0,0,1,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,0,2,64,67,7,0,2
1955,Graduation,Uncommitted,49431.0,0,1,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,22,59,365,15,0,1
1953,Graduation,Committed,61278.0,0,1,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,0,5,61,165,10,0,2
1958,2n Cycle,Committed,26490.0,0,0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,21,56,210,11,0,4
1947,PhD,Committed,73059.0,0,1,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,0,10,67,1095,26,0,2
1966,PhD,Uncommitted,46734.0,1,2,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,0,8,48,223,12,1,3
1963,Graduation,Committed,56253.0,0,1,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,0,18,51,597,22,0,5
1985,Graduation,Committed,19986.0,1,0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,7,29,22,4,0,6
1975,Graduation,Uncommitted,58330.0,0,1,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,6,39,1064,24,0,3
1980,Basic,Committed,25965.0,0,0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,0,21,34,74,6,0,4
1956,Master,Committed,14661.0,0,0,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,0,17,58,26,5,0,2
1959,Graduation,Committed,18690.0,0,0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,0,18,55,60,5,0,4
1974,PhD,Committed,45068.0,0,1,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,0,13,40,20,4,0,2
1987,Basic,Uncommitted,21063.0,1,0,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,0,9,27,59,7,0,7
1968,PhD,Committed,29187.0,1,0,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,0,13,46,34,5,0,4
1971,2n Cycle,Committed,54690.0,1,1,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,0,7,43,198,12,0,2
1964,PhD,Committed,59304.0,0,1,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,0,11,50,1048,28,0,0
1962,Master,Uncommitted,59247.0,0,2,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,0,7,52,574,21,0,3
1970,Graduation,Uncommitted,66731.0,0,1,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,0,21,44,1029,17,0,1
1980,Graduation,Committed,77353.0,0,1,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,0,6,34,670,20,0,0
1975,PhD,Uncommitted,52614.0,0,1,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,18,39,990,16,0,1
1974,Graduation,Committed,26751.0,2,0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,1,40,11,4,0,6
1963,PhD,Committed,81300.0,0,1,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,1,20,51,1241,21,1,5
1979,Graduation,Uncommitted,70337.0,0,0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,0,5,35,576,17,0,3
1985,2n Cycle,Committed,36145.0,1,0,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,1,12,29,172,12,1,4
1980,PhD,Uncommitted,65295.0,0,0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,0,6,34,664,20,0,3
1963,Graduation,Uncommitted,68118.0,0,1,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,8,51,928,23,0,3
1967,Graduation,Uncommitted,68743.0,0,0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,0,22,47,2074,30,0,1
1982,2n Cycle,Committed,41039.0,0,0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,11,32,467,15,0,6
1955,Graduation,Committed,38946.0,0,1,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,0,8,59,257,12,0,2
1967,Graduation,Committed,65777.0,0,0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,0,6,47,1146,17,0,0
1976,PhD,Uncommitted,66476.0,0,1,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,0,15,38,689,20,0,1
1972,PhD,Uncommitted,86857.0,0,0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,21,42,2114,22,0,1
1989,PhD,Committed,77845.0,0,0,40,760,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,0,1,25,1346,21,2,0
1969,PhD,Committed,69476.0,0,0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,9,45,1044,15,0,0
1960,PhD,Uncommitted,50611.0,0,1,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0,1,20,54,493,22,1,1
1970,Graduation,Uncommitted,61209.0,0,0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,0,10,44,957,13,0,3
1958,Master,Committed,42315.0,0,1,90,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,0,11,56,270,12,0,2
1952,Basic,Committed,13084.0,0,0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,0,7,62,29,5,0,2
1949,Master,Uncommitted,47570.0,1,1,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,1,13,65,121,9,0,1
1961,Master,Committed,61923.0,0,2,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,0,11,53,126,8,0,2
1995,Graduation,Uncommitted,34824.0,0,0,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,0,3,19,23,4,0,7
1949,PhD,Uncommitted,26518.0,1,1,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,1,14,65,57,8,0,7
1961,Graduation,Uncommitted,45938.0,0,0,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,0,7,53,636,20,0,3
1960,Graduation,Committed,78468.0,0,0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,0,2,54,1004,28,1,0
1973,Graduation,Uncommitted,78901.0,0,1,99,321,11,309,33,26,34,3,9,3,5,4,0,0,0,0,0,0,0,9,41,734,20,0,3
1978,Graduation,Committed,71427.0,2,0,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,0,3,36,614,20,0,6
1978,Graduation,Uncommitted,71022.0,0,1,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,0,4,36,1453,21,1,3
1988,Master,Uncommitted,90247.0,0,0,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,0,1,2,26,1621,15,3,3
1968,Master,Uncommitted,41335.0,1,0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,0,6,46,187,12,0,3
1986,Graduation,Committed,71952.0,1,0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,17,28,1443,22,2,5
1970,PhD,Uncommitted,35682.0,1,0,34,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,0,0,44,57,6,0,3
1951,Graduation,Uncommitted,43185.0,0,1,88,537,6,42,16,6,30,2,9,3,6,8,0,0,0,0,0,0,0,14,63,637,20,0,1
1948,PhD,Committed,66375.0,0,1,96,712,0,45,0,0,191,3,2,4,5,7,1,0,0,0,0,0,0,7,66,948,14,1,2
1971,Master,Committed,35178.0,1,0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,17,43,59,5,1,4
1986,Graduation,Committed,25252.0,1,0,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,0,11,28,18,4,0,6
1965,Master,Uncommitted,55250.0,0,1,49,664,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0,0,20,49,903,26,0,1
1975,Graduation,Uncommitted,33249.0,1,0,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,0,16,39,112,8,0,7
1953,Graduation,Committed,58398.0,0,0,44,299,5,201,21,21,49,3,5,4,8,4,0,0,0,0,0,0,0,13,61,596,20,0,5
1982,Graduation,Committed,50272.0,1,0,75,99,13,66,43,8,4,3,4,1,5,7,0,0,0,0,0,0,0,10,32,233,13,0,6
1975,PhD,Committed,76618.0,0,0,64,749,40,294,121,160,147,1,3,2,5,1,0,0,0,0,0,0,0,18,39,1511,11,0,5
1960,2n Cycle,Uncommitted,87305.0,0,0,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,0,1,21,54,1152,17,1,1
1978,Graduation,Committed,25851.0,1,0,45,9,4,18,7,5,5,2,2,0,3,7,0,0,0,0,0,0,0,16,36,48,7,0,4
1970,Graduation,Uncommitted,58710.0,0,1,77,440,81,368,0,122,174,6,11,5,9,6,0,0,0,0,0,0,0,15,44,1185,31,0,1
1958,Graduation,Uncommitted,45160.0,1,1,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,0,3,56,21,4,0,3
1965,Master,Committed,74806.0,0,1,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,18,49,965,16,0,5
1954,Graduation,Committed,59111.0,0,0,90,524,0,134,28,28,155,1,11,1,8,7,0,0,0,0,0,0,0,13,60,869,21,0,5
1984,PhD,Committed,18988.0,1,0,43,6,0,6,2,1,1,2,1,0,3,7,0,0,0,0,0,0,0,1,30,16,6,0,6
1965,Graduation,Committed,72190.0,0,0,79,597,166,597,172,166,249,1,5,6,4,3,0,0,0,0,0,0,0,16,49,1947,16,0,5
1976,Graduation,Committed,7500.0,1,0,19,7,0,12,13,7,32,5,4,1,2,9,1,0,0,0,0,0,1,22,38,71,12,1,4
1966,Graduation,Committed,44794.0,0,1,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,0,48,65,6,0,2
1955,Graduation,Committed,80395.0,0,0,62,445,25,706,80,76,48,1,6,5,12,2,0,0,0,1,0,0,0,7,59,1380,24,1,0
1976,Master,Uncommitted,75012.0,0,0,41,294,142,218,164,58,151,1,3,8,11,1,0,0,0,0,0,0,0,5,38,1027,23,0,3
1965,Master,Committed,56962.0,2,1,60,292,3,77,10,3,26,7,6,3,5,7,0,0,0,0,0,0,0,8,49,411,21,0,2
1991,Graduation,Committed,89891.0,0,0,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,0,14,23,836,26,1,5
1949,PhD,Uncommitted,35946.0,1,1,24,8,0,3,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,9,65,11,4,0,3
1953,PhD,Committed,53593.0,1,1,60,349,4,78,6,0,43,8,7,2,6,8,0,0,0,0,0,0,0,22,61,480,23,0,2
1978,Graduation,Committed,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,12,36,606,23,0,4
1948,PhD,Uncommitted,45072.0,1,2,74,144,2,99,7,2,30,5,6,1,4,8,0,0,0,0,0,0,0,8,66,284,16,0,3
1973,Graduation,Uncommitted,89694.0,1,1,22,1126,28,211,37,28,42,3,4,3,4,5,0,1,1,1,0,0,0,8,41,1472,14,3,3
1949,Graduation,Committed,72025.0,0,0,46,967,0,617,43,50,0,1,4,8,13,2,0,1,1,1,0,0,1,2,65,1677,26,3,0
1973,Graduation,Committed,67432.0,0,1,69,432,79,341,177,136,170,2,8,5,4,4,0,0,0,0,0,0,0,15,41,1335,19,0,5
1952,Master,Committed,70545.0,0,1,29,138,39,63,55,18,21,1,4,1,7,2,0,0,0,0,0,0,0,0,62,334,13,0,0
1989,Basic,Committed,17487.0,1,0,37,0,0,1,7,4,6,1,1,0,2,7,0,0,0,0,0,0,0,15,25,18,4,0,4
1969,Graduation,Committed,62882.0,0,1,26,509,133,497,78,24,97,2,7,5,6,4,0,0,0,0,0,0,0,22,45,1338,20,0,5
1953,PhD,Uncommitted,64108.0,0,1,8,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,0,0,15,61,1099,30,0,1
1956,Master,Committed,34941.0,1,1,26,39,2,25,4,3,24,2,3,0,3,8,0,0,0,0,0,0,0,15,58,97,8,0,2
1950,PhD,Uncommitted,48767.0,1,2,79,28,1,21,3,0,10,3,2,1,3,5,0,0,0,0,0,0,0,5,64,63,9,0,3
1978,2n Cycle,Committed,38702.0,1,0,71,13,11,24,13,8,40,2,3,0,4,6,0,0,0,0,0,0,0,10,36,109,9,0,6
1964,Graduation,Committed,82224.0,0,0,83,307,26,360,138,31,40,1,6,9,5,3,0,0,0,1,0,0,0,5,50,902,21,1,0
1952,Graduation,Committed,83844.0,0,0,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,0,13,62,1574,20,1,5
1975,2n Cycle,Committed,17003.0,1,0,37,2,5,12,4,8,7,3,2,0,4,5,0,0,0,0,0,0,0,6,39,38,9,0,6
1995,Graduation,Uncommitted,71163.0,0,0,30,283,17,372,138,106,44,1,3,8,12,1,0,0,0,0,0,0,0,3,19,960,24,0,3
1970,Graduation,Uncommitted,33697.0,1,0,34,4,3,7,0,3,11,1,1,0,2,7,1,0,0,0,0,0,0,9,44,28,4,1,7
1954,2n Cycle,Committed,63564.0,0,0,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,0,1,5,60,1215,28,1,0
1972,PhD,Committed,83443.0,0,0,89,518,42,742,55,56,84,1,6,10,5,2,0,0,0,0,0,0,0,6,42,1497,22,0,0
1958,PhD,Committed,51518.0,0,1,92,350,8,66,17,4,4,2,3,2,10,3,0,0,0,0,0,0,0,8,56,449,17,0,2
1975,Graduation,Uncommitted,58330.0,0,1,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,6,39,1064,24,0,3
1969,Graduation,Committed,80952.0,0,0,20,778,178,689,41,27,44,1,8,5,11,8,0,1,1,1,0,0,1,16,45,1757,25,3,5
1979,Graduation,Committed,75507.0,0,0,56,709,93,374,104,80,80,1,8,6,6,3,0,0,0,0,0,0,0,1,35,1440,21,0,0
1978,2n Cycle,Committed,63855.0,0,0,28,359,35,314,93,116,89,1,7,3,13,4,0,0,0,0,0,0,0,16,36,1006,24,0,5
1972,PhD,Committed,62220.0,0,1,55,799,12,375,16,12,12,5,7,6,5,6,0,0,0,0,0,0,1,22,42,1226,23,0,5
1964,Graduation,Committed,58512.0,0,1,25,895,10,101,13,0,152,5,3,4,8,8,0,0,0,0,0,0,0,9,50,1171,20,0,0
1979,Master,Committed,40662.0,1,0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,15,35,92,8,0,4
1959,PhD,Committed,38829.0,0,1,86,76,0,7,0,0,16,1,3,2,2,5,0,0,0,0,0,0,0,2,55,99,8,0,2
1981,2n Cycle,Committed,35523.0,1,0,8,11,5,22,12,5,11,2,3,0,3,7,0,0,0,0,0,0,0,8,33,66,8,0,6
1967,Graduation,Uncommitted,79146.0,1,1,33,245,16,223,21,43,16,2,8,1,8,6,0,0,0,0,0,0,0,2,47,564,19,0,3
1988,Master,Committed,78285.0,0,0,13,647,107,391,175,67,40,1,6,4,10,3,0,0,0,0,0,0,0,8,26,1427,21,0,0
1978,PhD,Uncommitted,31626.0,1,0,12,39,1,9,2,1,34,1,2,1,2,7,1,0,0,0,0,0,1,13,36,86,6,1,7
1952,Graduation,Uncommitted,75127.0,0,0,92,203,35,305,46,17,227,1,2,11,5,1,0,0,0,0,0,0,0,1,62,833,19,0,3
1955,Graduation,Committed,48726.0,0,1,90,138,3,38,4,0,59,3,3,2,4,6,0,0,0,0,0,0,0,14,59,242,12,0,2
1977,Graduation,Committed,74985.0,0,0,8,587,51,898,247,0,86,1,3,6,7,2,0,0,0,0,0,0,0,21,37,1869,17,0,5
1987,Graduation,Committed,67430.0,0,0,6,595,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,0,21,27,1364,29,0,5
1965,2n Cycle,Committed,46891.0,0,1,91,43,12,23,29,15,61,1,2,1,4,4,0,0,0,0,0,0,0,9,49,183,8,0,2
1956,Master,Committed,62058.0,0,1,52,301,7,74,10,0,58,4,6,1,7,6,0,0,0,0,0,0,0,13,58,450,18,0,2
1979,Graduation,Committed,72063.0,0,1,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,11,35,758,21,0,0
1951,PhD,Committed,78939.0,0,0,57,794,115,243,150,0,205,1,8,5,6,3,0,0,0,0,0,0,0,6,63,1507,20,0,0
1965,Graduation,Uncommitted,42720.0,1,1,9,392,5,91,28,26,112,8,7,3,7,8,0,0,0,0,0,0,1,14,49,654,25,0,7
1972,Graduation,Committed,33622.0,1,1,22,39,1,22,3,4,12,3,2,0,4,7,0,0,0,0,0,0,0,14,42,81,9,0,4
1957,PhD,Committed,6835.0,0,1,76,107,2,12,2,2,12,0,0,0,1,20,0,0,0,0,0,0,0,18,57,137,1,0,2
1953,Graduation,Committed,41452.0,1,1,86,13,0,3,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,15,61,16,4,0,2
1965,PhD,Uncommitted,40760.0,0,1,64,70,0,17,0,0,6,2,2,1,3,6,0,0,0,0,0,0,0,10,49,93,8,0,3
1958,PhD,Committed,74250.0,0,0,90,680,11,392,75,0,0,1,2,11,4,1,0,0,0,0,0,0,0,5,56,1158,18,0,0
1955,Master,Uncommitted,51124.0,1,1,79,26,1,11,0,1,4,2,1,0,3,3,0,0,0,0,0,0,0,6,59,43,6,0,3
1971,Graduation,Uncommitted,72258.0,0,1,28,522,0,522,227,120,134,2,6,9,5,2,0,0,0,0,0,0,0,9,43,1525,22,0,3
1974,PhD,Uncommitted,71466.0,0,0,86,412,12,546,78,182,0,1,4,4,10,1,0,0,0,0,0,0,0,2,40,1230,19,0,3
1976,Graduation,Committed,36283.0,1,1,42,6,5,5,8,0,5,2,1,0,3,4,0,0,0,0,0,0,0,2,38,29,6,0,6
1970,Graduation,Uncommitted,20587.0,1,0,39,2,3,6,4,1,9,1,1,1,2,7,0,0,0,0,0,0,0,1,44,25,5,0,7
1972,Graduation,Committed,30467.0,1,0,8,1,3,8,2,5,5,1,1,0,2,7,0,0,0,0,0,0,0,3,42,24,4,0,6
